Chemical compound	Metabolic activity	Microbial species or host cell type
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus peroris
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus pneumoniae
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus pseudoporcinus
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus pyogenes
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus salivarius
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus sanguinis
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus suis
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus thermophilus
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus uberis
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus vestibularis
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Subdoligranulum variabile
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Syntrophobacter fumaroxidans
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Syntrophomonas wolfei
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Syntrophus aciditrophicus
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Veillonella atypica
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Veillonella dispar
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Veillonella parvula
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Weissella paramesenteroides
L-Leucine (Leucine)	Consumption (import)	Aminobacterium colombiense
L-Leucine (Leucine)	Consumption (import)	Anaerococcus tetradius
L-Leucine (Leucine)	Consumption (import)	Anaerococcus vaginalis
L-Leucine (Leucine)	Consumption (import)	Bacteroides thetaiotaomicron
L-Leucine (Leucine)	Consumption (import)	Baumannia cicadellinicola
L-Leucine (Leucine)	Production (export)	Buchnera aphidicola
L-Leucine (Leucine)	Consumption (import)	Clostridium botulinum
L-Leucine (Leucine)	Consumption (import)	Clostridium difficile
L-Leucine (Leucine)	Consumption (import)	Clostridium sporogenes
L-Leucine (Leucine)	Consumption (import)	Clostridium tetani
L-Leucine (Leucine)	Consumption (import)	Colonocyte (host colon)
L-Leucine (Leucine)	Consumption (import)	Escherichia coli
L-Leucine (Leucine)	Consumption (import)	Finegoldia magna
L-Leucine (Leucine)	Consumption (import)	Peptoniphilus lacrimalis
L-Leucine (Leucine)	Consumption (import)	Prevotella ruminicola (Bacteroides ruminicola)
L-Leucine (Leucine)	Consumption (import)	Streptococcus salivarius
L-Lysine (Lysine, D-Lysine)	Consumption (import)	Baumannia cicadellinicola
L-Lysine (Lysine, D-Lysine)	Consumption (import)	Clostridium botulinum
L-Lysine (Lysine, D-Lysine)	Consumption (import)	Clostridium tetani
L-Lysine (Lysine, D-Lysine)	Consumption (import)	Colonocyte (host colon)
L-Lysine (Lysine, D-Lysine)	Production (export)	Corynebacterium glutamicum
L-Lysine (Lysine, D-Lysine)	Consumption (import)	Fusobacterium nucleatum
L-Lysine (Lysine, D-Lysine)	Consumption (import)	Odoribacter splanchnicus
L-Lysine (Lysine, D-Lysine)	Consumption (import)	Streptococcus salivarius
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Anaerotruncus colihominis
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Bacillus subtilis
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Bilophila wadsworthia
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Production (export)	Clostridium tetani
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Colonocyte (host colon)
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Corynebacterium glutamicum
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Desulfovibrio vulgaris
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Ensifer meliloti (Sinorhizobium meliloti)
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Escherichia coli
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Klebsiella pneumoniae
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Methylobacterium nodulans
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Production (export)	Pelotomaculum thermopropionicum
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Pseudomonas aeruginosa
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Rhizobium leguminosarum
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Rhodobacter capsulatus
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Rhodopseudomonas palustris
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Syntrophobacter fumaroxidans
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Veillonella parvula
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Xanthomonas campestris
L-Methionine (D-Methionine)	Consumption (import)	Acholeplasma laidlawii
L-Methionine (D-Methionine)	Consumption (import)	Aminobacterium colombiense
L-Methionine (D-Methionine)	Consumption (import)	Bacteroides fragilis
L-Methionine (D-Methionine)	Consumption (import)	Bacteroides thetaiotaomicron
L-Methionine (D-Methionine)	Consumption (import)	Bacteroides vulgatus
L-Methionine (D-Methionine)	Production (export)	Baumannia cicadellinicola
L-Methionine (D-Methionine)	Production (export)	Buchnera aphidicola
L-Methionine (D-Methionine)	Consumption (import)	Clostridium botulinum
L-Methionine (D-Methionine)	Consumption (import)	Clostridium difficile
L-Methionine (D-Methionine)	Consumption (import)	Clostridium sporogenes
L-Methionine (D-Methionine)	Consumption (import)	Clostridium tetani
L-Methionine (D-Methionine)	Consumption (import)	Colonocyte (host colon)
L-Methionine (D-Methionine)	Consumption (import)	Deinococcus radiodurans
L-Methionine (D-Methionine)	Consumption (import)	Fusobacterium nucleatum
L-Methionine (D-Methionine)	Consumption (import)	Parabacteroides distasonis
L-Methionine (D-Methionine)	Consumption (import)	Prevotella ruminicola (Bacteroides ruminicola)
L-Methionine (D-Methionine)	Consumption (import)	Streptococcus salivarius
L-Ornithine (Ornithine)	Production (export)	Clostridium perfringens
L-Ornithine (Ornithine)	Consumption (import)	Colonocyte (host colon)
L-Ornithine (Ornithine)	Production (export)	Enterococcus faecalis (Streptococcus faecalis)
L-Ornithine (Ornithine)	Consumption (import)	Eubacterium rectale
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Bacteroides thetaiotaomicron
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Baumannia cicadellinicola
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Clostridium botulinum
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Clostridium difficile
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Clostridium sporogenes
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Clostridium sticklandii
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Clostridium tetani
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Colonocyte (host colon)
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Peptoniphilus lacrimalis
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Streptococcus salivarius
L-Proline (Proline, D-Proline)	Consumption (import)	Clostridium botulinum
L-Proline (Proline, D-Proline)	Consumption (import)	Clostridium difficile
L-Proline (Proline, D-Proline)	Consumption (import)	Clostridium sporogenes
L-Proline (Proline, D-Proline)	Consumption (import)	Clostridium sticklandii
L-Proline (Proline, D-Proline)	Consumption (import)	Colonocyte (host colon)
L-Proline (Proline, D-Proline)	Consumption (import)	Methylobacterium nodulans
L-Proline (Proline, D-Proline)	Consumption (import)	Peptostreptococcus anaerobius
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Aeromonas hydrophila
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Bacteroides ovatus
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Bacteroides thetaiotaomicron
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Bacteroides xylanisolvens
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Butyrivibrio fibrisolvens
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Butyrivibrio proteoclasticus
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Collinsella aerofaciens (Eubacterium aerofaciens)
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Holdemania filiformis
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Parabacteroides distasonis
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Prevotella copri
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Ruminococcus obeum
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Subdoligranulum variabile
L-Selenocysteine	Consumption (import)	Colonocyte (host colon)
L-Serine (Serine, D-Serine)	Consumption (import)	Anaerotruncus colihominis
L-Serine (Serine, D-Serine)	Consumption (import)	Clostridium botulinum
L-Serine (Serine, D-Serine)	Consumption (import)	Clostridium difficile
L-Serine (Serine, D-Serine)	Consumption (import)	Clostridium leptum
L-Serine (Serine, D-Serine)	Consumption (import)	Clostridium sporogenes
L-Serine (Serine, D-Serine)	Consumption (import)	Clostridium tetani
